Name,Description,Province,Town,Address,Coordenates X (ETRS89),Coordenates Y (ETRS89),Latitude,Longitude
3 DE MARZO,,Araba/�lava,Vitoria-Gasteiz,Plaza Tres de Marzo. s/n,527141.4365,4744882.889,42.85604797,-2.667784995
ABANTO,,Bizkaia,Abanto y Ci�rvana-Abanto Zierbena,Avda. del Minero. 2. Ayuntamiento,493987.175,4796406.558,43.32047399,-3.074155996
AGURAIN,,Araba/�lava,Salvatierra/Agurain,C/ Fueros. 11. Subcomisar�a de la Ertzaintza.,549539.1393,4744226.369,42.84901251,-2.39370339
ALGORTA (BBIZI2),,Bizkaia,Getxo,Carretera de Galea. s/n ,498154,4801022,43.36205575,-3.022782207
ALONSOTEGI,,Bizkaia,Alonsotegi,C/ Baztieta. s/n. B� Irauregi,500972.2158,4788307.468,43.247568,-2.988024
ARRAIZ (Monte),,Bizkaia,Bilbao,Camino de Arraiz. s/n,503208.6894,4788084.466,43.24555373,-2.960475857
ATEGORRIETA,,Gipuzkoa,Donostia / San Sebasti�n,Avda. Ategorrieta. 71,584272.2271,4797096.914,43.32199195,-1.960650618
AV. GASTEIZ,,Araba/�lava,Vitoria-Gasteiz,Avda. Gasteiz. 97,526086.031,4744738.135,42.85478118,-2.680709822
AVDA. TOLOSA,,Gipuzkoa,Donostia / San Sebasti�n,C/ Andrestegi. 2 ,580211.325,4795650.477,43.30941344,-2.010938424
AZPEITIA,,Gipuzkoa,Azpeitia,C/ Perdillegi. s/n,559472.3,4781104.8,43.18037005,-2.268210419
A�ORGA,,Gipuzkoa,Donostia / San Sebasti�n,Avda. de A�orga. 12 (A�orga Txiki),581469.0172,4793568.235,43.29053139,-1.995741147
BANDERAS (meteo),,Bizkaia,Bilbao,Monte Banderas. s/n,503790.8,4792020.1,43.28099012,-2.953278417
BARAKALDO,,Bizkaia,Barakaldo,C/ Hogar propio. 7. CIFP Nicol�s Larburu,501043.6789,4793950.224,43.298379,-2.987133
BASAURI,,Bizkaia,Basauri,C/ Uribarri. 5. CEIP Bizkotxalde.,509437.3144,4787599.141,43.2411313,-2.883761023
BEASAIN,,Gipuzkoa,Beasain,Plaza Gipuzkoa. 1,565857.9851,4766472.852,43.04809432,-2.19138027
BOROA METEO,,Bizkaia,Amorebieta-Etxano,Parque Empresarial Boroa. s/n,520243.146,4787042.311,43.2359046,-2.750687431
CASTREJANA,,Bizkaia,Barakaldo,C/ Larrazabal. 1. B� Castrejana,502154.4326,4789475.068,43.25807943,-2.973456591
DURANGO,,Bizkaia,Durango,C/ San Roque. 20 bajo. E.S. Roque,529428.7974,4779566.556,43.168286,-2.637958001
EASO,,Gipuzkoa,Donostia / San Sebasti�n,Plaza del Centenario. s/n,582643.6267,4795983.985,43.31215281,-1.980900864
ELCIEGO,,Araba/�lava,Elciego,C/ Gabriel Celaya. 8,531257.1773,4707389.471,42.51824807,-2.619475212
ERANDIO,,Bizkaia,Erandio,Avda. Jos� Luis Goyoaga. s/n (Pasaje de Altzaga),501846,4794425,43.30265263,-2.977239986
EUROPA,,Bizkaia,Bilbao,Parque Europa. B� Txurdinaga,507924.189,4789127.44,43.25491057,-2.902376116
FARMACIA,,Araba/�lava,Vitoria-Gasteiz,Paseo Universidad. 7. Fac. Farmacia UPV,526757.9486,4743110.368,42.84009962,-2.672563184
FERIA (meteo),,Bizkaia,Bilbao,C/ Rafael Moreno Pitxitxi. s/n,504257.1663,4790269.269,43.265222,-2.947544
HERNANI,,Gipuzkoa,Hernani,C/ Aristizabal. s/n. Centro de salud Hernani.,582962.7015,4791020.607,43.26743142,-1.97771564
JAIZKIBEL,,Gipuzkoa,Hondarribia,Monte Jaizkibel. s/n,592449.2822,4799512.171,43.34277518,-1.859412903
LARRABETZU,,Bizkaia,Larrabetzu,Barrio Berrezoaga. 3,516281.215,4789843.71,43.26122612,-2.799399084
LAS CARRERAS,,Bizkaia,Abanto y Ci�rvana-Abanto Zierbena,Plaza Trinidad. s/n. B� Las Carreras,492102.56,4796311.78,43.31960313,-3.097397506
LEZO,,Gipuzkoa,Lezo,Plaza Polantzarene. s/n,589179.9795,4797107.63,43.32152244,-1.90013105
LLODIO,,Araba/�lava,Laudio/Llodio,C/ Lamuza. s/n,502977.4251,4776809.818,43.14402894,-2.963385282
LOS HERRAN,,Araba/�lava,Vitoria-Gasteiz,Parque Judizmendi. B� Judizmendi,527682.4365,4743514.163,42.84370296,-2.661230557
MAZARREDO,,Bizkaia,Bilbao,C/ Alameda Mazarredo. s/n (Guggenheim),505259.7354,4790523.564,43.26750551,-2.93518811
MONDRAGON,,Gipuzkoa,Arrasate/Mondrag�n,Plaza Jose Mar�a Arizmendiarrieta. s/n,541493.746,4768061.342,43.06412079,-2.490396683
MONTORRA,,Bizkaia,Amorebieta-Etxano,Barrio Montorra fte. n�5,523021.9544,4784064.879,43.20901422,-2.716588507
MUNDAKA,,Bizkaia,Mundaka,Camino Goitiz. s/n. Dep�sito de Agua,524035.1288,4805932.45,43.40588884,-2.703159368
MUNOA,,Bizkaia,Barakaldo,C/ Llano. 55. CEP Munoa. B� Lutxana,501728.39,4792529.872,43.285588,-2.978696001
MUSKIZ,,Bizkaia,Muskiz,C/ Giba Fregenal. s/n. Estaci�n de Renfe,490860.6099,4796436.612,43.32071312,-3.112716272
M� DIAZ HARO,,Bizkaia,Bilbao,C/ M� D�az de Haro. 60,504410.8,4789556.5,43.25880287,-2.945656664
NAUTICA,,Bizkaia,Portugalete,C/ M� D�az de Haro. 68 (Esc. N�utica),498108.2533,4797122.726,43.32694444,-3.023333334
PAGOETA,,Gipuzkoa,Aia,Jard�n Bot�nico de Iturraran. Parque Natural de Pagoeta. ,568603.2817,4788991.376,43.25060522,-2.154887397
PUYO,,Gipuzkoa,Donostia / San Sebasti�n,Camino de Puyo. 14,582404.0515,4794939.697,43.30277717,-1.984011286
SAN JULIAN,,Bizkaia,Muskiz,Camino a Valles. s/n. B� San Julian,490839.8223,4797762.307,43.33265016,-3.11299477
SANGRONIZ,,Bizkaia,Sondika,C/ Iturrikosolo. s/n,505646.6,4793957.2,43.29842136,-2.930385818
SANTURCE,,Bizkaia,Santurtzi,C/ Vista Alegre. 29 ,496549.7975,4797797.172,43.333012,-3.04256
SERANTES,,Bizkaia,Santurtzi,Camino Serantes igoera. s/n,494893.6762,4797956.439,43.33443671,-3.06299057
SESTAO,,Bizkaia,Sestao,Parque Portopin,500328.4875,4794988.186,43.3077261,-2.99594962
TOLOSA,,Gipuzkoa,Tolosa,Avda. Martin Jose Iraola. 23,574991.16,4775750.46,43.13078068,-2.078002157
URKIOLA,,Bizkaia,Abadi�o,Urkiola auzoa. 8,528410.62,4772028,43.10044243,-2.650870072
VALDEREJO,,Araba/�lava,Valdegov�a/Gaubea,Ctro. de Interpretaci�n. Parque Natural de Valderejo,481073.6693,4746978.508,42.87516709,-3.231732505
ZALLA,,Bizkaia,Zalla,Avda. Kosme Bibanko Etxebarria. 2,489078.1917,4784461.447,43.21285724,-3.134461259
ZELAIETA PARQUE,,Bizkaia,Amorebieta-Etxano,Parque Zelaieta ,521563.7353,4785158.58,43.21890568,-2.73449698
